Statistical unit,Unit of measure,Level of education,Orientation,Sex,Age,Grade,Type of institution,Level of educational attainment,Wealth quintile,Location,Type of education,Field of education,School subject,Infrastructure,Socioeconomic background,Teaching experience,Type of contract,Country / region of origin,Destination region,Immigration status,Reference area,Time Period,2012,2013,2014,2015,2016,2017,2018
NART:Total net attendance rate,PT:Percentage,L3:Upper secondary education,_T:Total,M:Male,SCH_AGE_GROUP:School-age population,_T:Total,INST_T:All institutions,_Z:Not applicable,Q1:Poorest,RUR:Rural,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,NART:PT:L3:_T:M:SCH_AGE_GROUP:_T:INST_T:_Z:Q1:RUR:_T:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,,92.35609,,,,,
CR:Completion rate,PT:Percentage,L2:Lower secondary education,_T:Total,_T:Total,_T:Total,GLAST:Last grade,INST_T:All institutions,_Z:Not applicable,_T:Total,RUR:Rural,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,CR:PT:L2:_T:_T:_T:GLAST:INST_T:_Z:_T:RUR:_T:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,,99.43790,,,,,
NART:Total net attendance rate,PT:Percentage,L3:Upper secondary education,_T:Total,M:Male,SCH_AGE_GROUP:School-age population,_T:Total,INST_T:All institutions,_Z:Not applicable,Q3:Middle,_T:Total,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,NART:PT:L3:_T:M:SCH_AGE_GROUP:_T:INST_T:_Z:Q3:_T:_T:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,,100,,,,,
SAP:School-age population,PER:Number of persons,L1:Primary education,_T:Total,M:Male,TH_ENTRY_AGE:Official entrance age,G1:Grade 1,INST_T:All institutions,_Z:Not applicable,_Z:Not applicable,_T:Total,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,SAP:PER:L1:_T:M:TH_ENTRY_AGE:G1:INST_T:_Z:_Z:_T:_T:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,209317,220111,232701,,,,
SCH:School,PT:Percentage,L3:Upper secondary education,_T:Total,_T:Total,_T:Total,_T:Total,INST_PRIV:Private institutions,_Z:Not applicable,_Z:Not applicable,_T:Total,_T:Total,_T:Total,_Z:Not applicable,HWASH:Handwashing facilities,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,SCH:PT:L3:_T:_T:_T:_T:INST_PRIV:_Z:_Z:_T:_T:_T:_Z:HWASH:_Z:_Z:_Z:W00:W00:_Z:UA,,,,,98.42520,96.21212,
QTEACH:Qualified teachers,PER:Number of persons,L4:Post-secondary non-tertiary education,_T:Total,M:Male,_T:Total,_T:Total,INST_T:All institutions,_T:Total,_Z:Not applicable,_T:Total,_T:Total,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_T:Total,_T:Total,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,QTEACH:PER:L4:_T:M:_T:_T:INST_T:_T:_Z:_T:_T:_T:_T:_Z:_Z:_T:_T:W00:W00:_Z:UA,,,NaN,NaN,NaN,NaN,
RPTR:Repeaters,PER:Number of persons,L2:Lower secondary education,C4:General programmes,_T:Total,_T:Total,G3:Grade 3,INST_T:All institutions,_Z:Not applicable,_Z:Not applicable,_T:Total,INIT:Initial education,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,RPTR:PER:L2:C4:_T:_T:G3:INST_T:_Z:_Z:_T:INIT:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,25,20,28,24,70,15,
RPTR:Repeaters,PER:Number of persons,L2:Lower secondary education,C4:General programmes,M:Male,_T:Total,G2:Grade 2,INST_T:All institutions,_Z:Not applicable,_Z:Not applicable,_T:Total,INIT:Initial education,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,RPTR:PER:L2:C4:M:_T:G2:INST_T:_Z:_Z:_T:INIT:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,12,6,11,9,44,10,
STU:Students,PER:Number of persons,L2_3:Secondary education,_T:Total,F:Female,_T:Total,_T:Total,INST_PUB:Public institutions,_Z:Not applicable,_Z:Not applicable,_T:Total,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,STU:PER:L2_3:_T:F:_T:_T:INST_PUB:_Z:_Z:_T:_T:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,1393822,1341091,1303367,1140915,1122106,1129576,
NARA:Adjusted net attendance rate,PT:Percentage,L1:Primary education,_T:Total,M:Male,SCH_AGE_GROUP:School-age population,_T:Total,INST_T:All institutions,_Z:Not applicable,Q4:Fourth,_T:Total,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,NARA:PT:L1:_T:M:SCH_AGE_GROUP:_T:INST_T:_Z:Q4:_T:_T:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,,91.46677,,,,,
ROFST_PHH:Rate of out-of-school children (household survey data),GLPIA:Adjusted location parity index,L2:Lower secondary education,_T:Total,F:Female,SCH_AGE_GROUP:School-age population,_T:Total,INST_T:All institutions,_Z:Not applicable,Q3:Middle,_T:Total,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,ROFST_PHH:GLPIA:L2:_T:F:SCH_AGE_GROUP:_T:INST_T:_Z:Q3:_T:_T:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,,1,,,,,
SLE:School life expectancy,GPI:Gender parity index,L2:Lower secondary education,_T:Total,_T:Total,_T:Total,_T:Total,INST_T:All institutions,_Z:Not applicable,_Z:Not applicable,_T:Total,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,SLE:GPI:L2:_T:_T:_T:_T:INST_T:_Z:_Z:_T:_T:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,0.99982,0.99915,1.00369,,,,
STU:Students,PER:Number of persons,L2:Lower secondary education,C4:General programmes,M:Male,_T:Total,G2:Grade 2,INST_T:All institutions,_Z:Not applicable,_Z:Not applicable,_T:Total,INIT:Initial education,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,STU:PER:L2:C4:M:_T:G2:INST_T:_Z:_Z:_T:INIT:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,194185,191587,191242,179246,180949,177175,
NAR:Net attendance rate,PT:Percentage,L3:Upper secondary education,_T:Total,_T:Total,SCH_AGE_GROUP:School-age population,_T:Total,INST_T:All institutions,_Z:Not applicable,Q1:Poorest,URB:Urban,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,NAR:PT:L3:_T:_T:SCH_AGE_GROUP:_T:INST_T:_Z:Q1:URB:_T:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,,0,,,,,
SCH:School,PT:Percentage,L2:Lower secondary education,_T:Total,_T:Total,_T:Total,_T:Total,INST_T:All institutions,_Z:Not applicable,_Z:Not applicable,_T:Total,_T:Total,_T:Total,_Z:Not applicable,HWASH:Handwashing facilities,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,SCH:PT:L2:_T:_T:_T:_T:INST_T:_Z:_Z:_T:_T:_T:_Z:HWASH:_Z:_Z:_Z:W00:W00:_Z:UA,,,,,89.57137,90.55229,
DR:Drop-out rate,PT:Percentage,L1:Primary education,_T:Total,M:Male,_T:Total,G2:Grade 2,INST_T:All institutions,_Z:Not applicable,_Z:Not applicable,_T:Total,INIT:Initial education,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,DR:PT:L1:_T:M:_T:G2:INST_T:_Z:_Z:_T:INIT:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,0.02254,0.55428,11.79467,1.77339,0.71490,,
CR:Completion rate,PT:Percentage,L2:Lower secondary education,_T:Total,_T:Total,_T:Total,GLAST:Last grade,INST_T:All institutions,_Z:Not applicable,Q2:Second,RUR:Rural,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,CR:PT:L2:_T:_T:_T:GLAST:INST_T:_Z:Q2:RUR:_T:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,,99.74510,,,,,
NARA:Adjusted net attendance rate,PT:Percentage,L1:Primary education,_T:Total,_T:Total,UNDER1_AGE:One year younger than official entry age,_T:Total,INST_T:All institutions,_Z:Not applicable,Q5:Richest,URB:Urban,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,NARA:PT:L1:_T:_T:UNDER1_AGE:_T:INST_T:_Z:Q5:URB:_T:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,,87.14626,,,,,
STU_MOBILE:International (or internationally mobile) students,PER:Number of persons,L5T8:Tertiary education,_T:Total,_T:Total,_T:Total,_T:Total,INST_T:All institutions,_Z:Not applicable,_Z:Not applicable,_T:Total,_T:Total,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,CF:Central African Republic,W00:All countries,_Z:Not applicable,UA:Ukraine,STU_MOBILE:PER:L5T8:_T:_T:_T:_T:INST_T:_Z:_Z:_T:_T:_T:_T:_Z:_Z:_Z:_Z:CF:W00:_Z:UA,0,0,0,0,0,0,
CR:Completion rate,GPIA:Adjusted gender parity index,L1:Primary education,_T:Total,_T:Total,_T:Total,GLAST:Last grade,INST_T:All institutions,_Z:Not applicable,_T:Total,RUR:Rural,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,CR:GPIA:L1:_T:_T:_T:GLAST:INST_T:_Z:_T:RUR:_T:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,,1.00018,,,,,
FOSGP:Distribution of graduates in tertiary education by field of education,PT:Percentage,L5T8:Tertiary education,_T:Total,F:Female,_T:Total,_T:Total,INST_T:All institutions,_Z:Not applicable,_Z:Not applicable,_T:Total,_T:Total,"ISC_F04:Business, administration and law",_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,FOSGP:PT:L5T8:_T:F:_T:_T:INST_T:_Z:_Z:_T:_T:ISC_F04:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,42.02938,,,37.02038,34.58430,17.57599,
NER:Net enrolment rate,PT:Percentage,L1:Primary education,_T:Total,M:Male,SCH_AGE_GROUP:School-age population,_T:Total,INST_T:All institutions,_Z:Not applicable,_Z:Not applicable,_T:Total,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,NER:PT:L1:_T:M:SCH_AGE_GROUP:_T:INST_T:_Z:_Z:_T:_T:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,92.73893,93.12499,91.52780,,,,
STU_MOBILE:International (or internationally mobile) students,PER:Number of persons,L5T8:Tertiary education,_T:Total,_T:Total,_T:Total,_T:Total,INST_T:All institutions,_Z:Not applicable,_Z:Not applicable,_T:Total,_T:Total,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,AM:Armenia,W00:All countries,_Z:Not applicable,UA:Ukraine,STU_MOBILE:PER:L5T8:_T:_T:_T:_T:INST_T:_Z:_Z:_T:_T:_T:_T:_Z:_Z:_Z:_Z:AM:W00:_Z:UA,0,0,604,431,46,73,
NAR:Net attendance rate,PT:Percentage,L1:Primary education,_T:Total,F:Female,SCH_AGE_GROUP:School-age population,_T:Total,INST_T:All institutions,_Z:Not applicable,_T:Total,URB:Urban,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,NAR:PT:L1:_T:F:SCH_AGE_GROUP:_T:INST_T:_Z:_T:URB:_T:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,,89.42537,,,,,
GAR:Gross attendance ratio,GLPIA:Adjusted location parity index,L5T8:Tertiary education,_T:Total,F:Female,SCH_AGE_GROUP:School-age population,_T:Total,INST_T:All institutions,_Z:Not applicable,Q2:Second,_T:Total,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,GAR:GLPIA:L5T8:_T:F:SCH_AGE_GROUP:_T:INST_T:_Z:Q2:_T:_T:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,,0.57161,,,,,
NERT:Total net enrolment rate,GPI:Gender parity index,L2:Lower secondary education,_T:Total,_T:Total,SCH_AGE_GROUP:School-age population,_T:Total,INST_T:All institutions,_Z:Not applicable,_Z:Not applicable,_T:Total,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,NERT:GPI:L2:_T:_T:SCH_AGE_GROUP:_T:INST_T:_Z:_Z:_T:_T:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,1.00192,1.00195,1.00632,,,,
NART:Total net attendance rate,GLPIA:Adjusted location parity index,L3:Upper secondary education,_T:Total,M:Male,SCH_AGE_GROUP:School-age population,_T:Total,INST_T:All institutions,_Z:Not applicable,Q2:Second,_T:Total,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,NART:GLPIA:L3:_T:M:SCH_AGE_GROUP:_T:INST_T:_Z:Q2:_T:_T:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,,0,,,,,
CR:Completion rate,PT:Percentage,L2:Lower secondary education,_T:Total,_T:Total,_T:Total,GLAST:Last grade,INST_T:All institutions,_Z:Not applicable,Q4:Fourth,RUR:Rural,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,CR:PT:L2:_T:_T:_T:GLAST:INST_T:_Z:Q4:RUR:_T:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,,0,,,,,
SLE:School life expectancy,YR:Years,L5T8:Tertiary education,_T:Total,_T:Total,_T:Total,_T:Total,INST_T:All institutions,_Z:Not applicable,_Z:Not applicable,_T:Total,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,SLE:YR:L5T8:_T:_T:_T:_T:INST_T:_Z:_Z:_T:_T:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,3.92818,3.82133,3.93794,,,,
ROFST_PHH:Rate of out-of-school children (household survey data),GPIA:Adjusted gender parity index,L3:Upper secondary education,_T:Total,_T:Total,SCH_AGE_GROUP:School-age population,_T:Total,INST_T:All institutions,_Z:Not applicable,Q1:Poorest,URB:Urban,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,ROFST_PHH:GPIA:L3:_T:_T:SCH_AGE_GROUP:_T:INST_T:_Z:Q1:URB:_T:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,,0,,,,,
CR:Completion rate,WPIA:Adjusted wealth parity index,L1:Primary education,_T:Total,F:Female,_T:Total,GLAST:Last grade,INST_T:All institutions,_Z:Not applicable,_T:Total,_T:Total,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,CR:WPIA:L1:_T:F:_T:GLAST:INST_T:_Z:_T:_T:_T:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,,0.99794,,,,,
RPTR:Repeaters,PER:Number of persons,L1:Primary education,_T:Total,_T:Total,_T:Total,G2:Grade 2,INST_T:All institutions,_Z:Not applicable,_Z:Not applicable,_T:Total,INIT:Initial education,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,RPTR:PER:L1:_T:_T:_T:G2:INST_T:_Z:_Z:_T:INIT:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,141,162,131,108,220,203,
CR:Completion rate,GPIA:Adjusted gender parity index,L2:Lower secondary education,_T:Total,_T:Total,_T:Total,GLAST:Last grade,INST_T:All institutions,_Z:Not applicable,_T:Total,URB:Urban,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,CR:GPIA:L2:_T:_T:_T:GLAST:INST_T:_Z:_T:URB:_T:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,,0.99937,,,,,
NAR:Net attendance rate,PT:Percentage,L3:Upper secondary education,_T:Total,F:Female,SCH_AGE_GROUP:School-age population,_T:Total,INST_T:All institutions,_Z:Not applicable,Q3:Middle,_T:Total,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,NAR:PT:L3:_T:F:SCH_AGE_GROUP:_T:INST_T:_Z:Q3:_T:_T:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,,68.65468,,,,,
GER:Gross enrolment ratio,PT:Percentage,L1T8:Primary to tertiary education,_T:Total,_T:Total,SCH_AGE_GROUP:School-age population,_T:Total,INST_T:All institutions,_Z:Not applicable,_T:Total,_T:Total,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,GER:PT:L1T8:_T:_T:SCH_AGE_GROUP:_T:INST_T:_Z:_T:_T:_T:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,93.90788,93.97132,94.75432,,,,
REPR:Repetition rate,PT:Percentage,L2:Lower secondary education,C4:General programmes,M:Male,_T:Total,G4:Grade 4,INST_T:All institutions,_Z:Not applicable,_Z:Not applicable,_T:Total,INIT:Initial education,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,REPR:PT:L2:C4:M:_T:G4:INST_T:_Z:_Z:_T:INIT:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,0.00424,0.00557,0.00617,0.01999,0.00476,,
STU_MOBILE:International (or internationally mobile) students,PER:Number of persons,L5T8:Tertiary education,_T:Total,_T:Total,_T:Total,_T:Total,INST_T:All institutions,_Z:Not applicable,_Z:Not applicable,_T:Total,_T:Total,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,S9:South and West Asia,W00:All countries,_Z:Not applicable,UA:Ukraine,STU_MOBILE:PER:L5T8:_T:_T:_T:_T:INST_T:_Z:_Z:_T:_T:_T:_T:_Z:_Z:_Z:_Z:S9:W00:_Z:UA,3628,3468,4439,4559,5343,6380,
FOSEP:Distribution of students in tertiary education by field of education,PT:Percentage,L5T8:Tertiary education,_T:Total,F:Female,_T:Total,_T:Total,INST_T:All institutions,_Z:Not applicable,_Z:Not applicable,_T:Total,_T:Total,ISC_F10:Services,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,FOSEP:PT:L5T8:_T:F:_T:_T:INST_T:_Z:_Z:_T:_T:ISC_F10:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,,,,5.65665,5.04017,5.51605,
ASER:Age specific enrolment rate,PT:Percentage,_T:Total,_T:Total,_T:Total,Y12T14:12-14 years,_T:Total,INST_T:All institutions,_Z:Not applicable,_Z:Not applicable,_T:Total,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,ASER:PT:_T:_T:_T:Y12T14:_T:INST_T:_Z:_Z:_T:_T:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,93.86087,94.33157,94.22590,,,,
STU_MOBILE:International (or internationally mobile) students,PER:Number of persons,L5T8:Tertiary education,_T:Total,_T:Total,_T:Total,_T:Total,INST_T:All institutions,_Z:Not applicable,_Z:Not applicable,_T:Total,_T:Total,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,SZ:Eswatini,W00:All countries,_Z:Not applicable,UA:Ukraine,STU_MOBILE:PER:L5T8:_T:_T:_T:_T:INST_T:_Z:_Z:_T:_T:_T:_T:_Z:_Z:_Z:_Z:SZ:W00:_Z:UA,0,0,7,13,15,19,
SR:Survival rate,PT:Percentage,L1:Primary education,_T:Total,F:Female,_T:Total,G6:Grade 6,INST_T:All institutions,_Z:Not applicable,_Z:Not applicable,_T:Total,INIT:Initial education,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,SR:PT:L1:_T:F:_T:G6:INST_T:_Z:_Z:_T:INIT:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,0,0,0,0,0,,
RPTR:Repeaters,PER:Number of persons,L2:Lower secondary education,C4:General programmes,M:Male,_T:Total,G5:Grade 5,INST_T:All institutions,_Z:Not applicable,_Z:Not applicable,_T:Total,INIT:Initial education,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,RPTR:PER:L2:C4:M:_T:G5:INST_T:_Z:_Z:_T:INIT:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,11,15,6,16,31,6,
STU_MOBILE:International (or internationally mobile) students,PER:Number of persons,L5T8:Tertiary education,_T:Total,_T:Total,_T:Total,_T:Total,INST_T:All institutions,_Z:Not applicable,_Z:Not applicable,_T:Total,_T:Total,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,TG:Togo,W00:All countries,_Z:Not applicable,UA:Ukraine,STU_MOBILE:PER:L5T8:_T:_T:_T:_T:INST_T:_Z:_Z:_T:_T:_T:_T:_Z:_Z:_Z:_Z:TG:W00:_Z:UA,0,0,7,3,5,3,
ROFST_PHH:Rate of out-of-school children (household survey data),PT:Percentage,L1:Primary education,_T:Total,F:Female,SCH_AGE_GROUP:School-age population,_T:Total,INST_T:All institutions,_Z:Not applicable,Q1:Poorest,RUR:Rural,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,ROFST_PHH:PT:L1:_T:F:SCH_AGE_GROUP:_T:INST_T:_Z:Q1:RUR:_T:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,,6.69590,,,,,
ROFST_PHH:Rate of out-of-school children (household survey data),GPIA:Adjusted gender parity index,L2:Lower secondary education,_T:Total,_T:Total,SCH_AGE_GROUP:School-age population,_T:Total,INST_T:All institutions,_Z:Not applicable,Q4:Fourth,URB:Urban,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,ROFST_PHH:GPIA:L2:_T:_T:SCH_AGE_GROUP:_T:INST_T:_Z:Q4:URB:_T:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,,0,,,,,
GER:Gross enrolment ratio,PT:Percentage,L2_3:Secondary education,C4:General programmes,F:Female,SCH_AGE_GROUP:School-age population,_T:Total,INST_T:All institutions,_Z:Not applicable,_T:Total,_T:Total,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,GER:PT:L2_3:C4:F:SCH_AGE_GROUP:_T:INST_T:_Z:_T:_T:_T:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,89.27365,88.61642,89.21861,,,,
TEP:Distribution of students in tertiary education by ISCED level,PT:Percentage,L8:Doctoral or equivalent level,_T:Total,M:Male,_T:Total,_T:Total,INST_T:All institutions,_Z:Not applicable,_Z:Not applicable,_T:Total,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,TEP:PT:L8:_T:M:_T:_T:INST_T:_Z:_Z:_T:_T:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,1.31174,1.38330,1.32370,1.43760,1.79992,1.70490,
